"TIME","GEO","SPECIES","SPECIES_LABEL","FISHREG","UNIT","Value","Flag and Footnotes"
"2012","Belgium","SPR","European sprat - Sprattus sprattus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","SPR","European sprat - Sprattus sprattus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","WHB","Blue whiting (=Poutassou) - Micromesistius poutassou","Atlantic, Northeast","Tonnes live weight",":",""
"2012","Belgium","WHB","Blue whiting (=Poutassou) - Micromesistius poutassou","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","WHB","Blue whiting (=Poutassou) - Micromesistius poutassou","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","WHB","Blue whiting (=Poutassou) - Micromesistius poutassou","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","WHB","Blue whiting (=Poutassou) - Micromesistius poutassou","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Belgium","YFT","Yellowfin tuna - Thunnus albacares","Atlantic, Northeast","Tonnes live weight",":",""
"2012","Belgium","YFT","Yellowfin tuna - Thunnus albacares","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Belgium","YFT","Yellowfin tuna - Thunnus albacares","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Belgium","YFT","Yellowfin tuna - Thunnus albacares","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Belgium","YFT","Yellowfin tuna - Thunnus albacares","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Denmark","F00","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","499 632.63",""
"2012","Denmark","F00","All aquatic organisms","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Denmark","F00","All aquatic organisms","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Denmark","F00","All aquatic organisms","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Denmark","F00","All aquatic organisms","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Denmark","F01","Aquatic animals","Atlantic, Northeast","Tonnes live weight","499 632.63",""
"2012","Denmark","F01","Aquatic animals","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Denmark","F01","Aquatic animals","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Denmark","F01","Aquatic animals","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Denmark","F01","Aquatic animals","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Denmark","F10","Freshwater fishes","Atlantic, Northeast","Tonnes live weight","78.48",""
"2012","Denmark","F10","Freshwater fishes","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Denmark","F10","Freshwater fishes","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Denmark","F10","Freshwater fishes","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Denmark","F10","Freshwater fishes","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Denmark","F30","Marine fishes","Atlantic, Northeast","Tonnes live weight","449 571.37",""
"2012","Denmark","F30","Marine fishes","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Denmark","F30","Marine fishes","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Denmark","F30","Marine fishes","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Denmark","F30","Marine fishes","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Denmark","F37","Miscellaneous pelagic fishes","Atlantic, Northeast","Tonnes live weight","41 825.95",""
"2012","Denmark","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Denmark","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Denmark","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Denmark","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Denmark","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","Denmark","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Denmark","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Denmark","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Denmark","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Denmark","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast","Tonnes live weight","28 554.81",""
"2012","Denmark","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Denmark","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Denmark","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Denmark","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Denmark","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast","Tonnes live weight","125 117.07",""
"2012","Denmark","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Denmark","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Denmark","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Denmark","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Denmark","HKE","European hake - Merluccius merluccius","Atlantic, Northeast","Tonnes live weight","2 409.43",""
"2012","Denmark","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","Denmark","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","Denmark","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","Denmark","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","Denmark","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","Denmark","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
